Feat0_Cat0.1,Feat0_Cat0.2,Feat0_Cat0.3,Feat1_Cat1.1,Feat1_Cat1.2,Feat1_Cat1.3,Feat1_Cat1.4,Feat2_Cat2.1,Feat2_Cat2.2,Feat2_Cat2.3,Feat2_Cat2.4,Feat3_Cat3.1,Feat3_Cat3.2,Feat3_Cat3.3,Feat3_Cat3.4,target
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2
0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2
0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2
0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
